,name,real_rent,age,route_1,route_2,route_3,room_number,DK,K,L,S,convenience,new,old,far,near,very far,very near,世田谷区,中央区,中野区,北区,千代田区,台東区,品川区,墨田区,大田区,文京区,新宿区,板橋区,江戸川区,江東区,渋谷区,港区,目黒区,練馬区,荒川区,葛飾区,豊島区,足立区
0,京成本線 京成高砂駅 3階建 築5年,77500.0,5.0,5.0,,,1.0,0.0,1.0,0.0,1.0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,プラティーク　リヴ,77500.0,5.0,5.0,15.0,18.0,2.0,0.0,1.0,0.0,0.0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,Ｐｒｉｍａｖｅｒａ,100000.0,0.0,8.0,6.0,12.0,1.0,1.0,0.0,1.0,0.0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,エスポワール田端,83000.0,5.0,7.0,25.0,17.0,1.0,0.0,1.0,0.0,1.0,3,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,メゾン　ド　フルールII,84000.0,6.0,5.0,14.0,28.0,1.0,0.0,1.0,0.0,1.0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5,（仮称）セシリア熊野前,54000.0,0.0,6.0,18.0,1.0,1.0,0.0,0.0,0.0,0.0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6,（仮称）セシリア熊野前,56000.0,0.0,6.0,18.0,1.0,1.0,0.0,1.0,0.0,0.0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7,（仮称）セシリア熊野前,56000.0,0.0,6.0,18.0,1.0,1.0,0.0,1.0,0.0,0.0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8,（仮称）セシリア熊野前,56000.0,0.0,6.0,18.0,1.0,1.0,0.0,0.0,0.0,0.0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9,（仮称）セシリア熊野前,58000.0,0.0,6.0,18.0,1.0,1.0,0.0,1.0,0.0,0.0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
10,（仮称）セシリア熊野前,58000.0,0.0,6.0,18.0,1.0,1.0,0.0,1.0,0.0,0.0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
11,（仮称）セシリア熊野前,59000.0,0.0,6.0,18.0,1.0,1.0,0.0,0.0,0.0,0.0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
12,（仮称）セシリア熊野前,61000.0,0.0,6.0,18.0,1.0,1.0,0.0,1.0,0.0,0.0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
