マンション名,住所,立地1,立地2,立地3,築年数,建物の高さ,階層,賃料料,管理費,"敷/礼/保証/敷引,償却",間取り,専有面積,詳細URL
京成本線 京成高砂駅 3階建 築5年,東京都葛飾区高砂２,京成本線/京成高砂駅 歩5分,,,築5年,3階建,1階,7.5万円,2500円,-/7.5万円,1SK,31.65m2,https://suumo.jp/chintai/jnc_000062829572/?bc=100221498430
プラティーク　リヴ,東京都葛飾区高砂２,京成本線/京成高砂駅 歩5分,京成押上線/青砥駅 歩15分,京成金町線/柴又駅 歩18分,築5年,3階建,1階,7.5万円,2500円,-/7.5万円,2K,31.65m2,https://suumo.jp/chintai/jnc_000062809835/?bc=100221369478
Ｐｒｉｍａｖｅｒａ,東京都葛飾区柴又１,京成本線/京成高砂駅 歩8分,京成金町線/柴又駅 歩6分,北総線/新柴又駅 歩12分,新築,2階建,1階,9.7万円,3000円,9.7万円/9.7万円,1LDK,44.09m2,https://suumo.jp/chintai/jnc_000061299792/?bc=100214235558
エスポワール田端,東京都北区田端６,ＪＲ山手線/田端駅 歩7分,ＪＲ高崎線/尾久駅 歩25分,ＪＲ京浜東北線/上中里駅 歩17分,築5年,3階建,1階,8万円,3000円,-/8万円,1SK,31.65m2,https://suumo.jp/chintai/jnc_000013488306/?bc=100221480042
メゾン　ド　フルールII,東京都板橋区相生町,都営三田線/志村三丁目駅 歩5分,都営三田線/蓮根駅 歩14分,東武東上線/東武練馬駅 歩28分,築6年,3階建,1階,8.1万円,3000円,-/8.1万円,1SK,30.85m2,https://suumo.jp/chintai/jnc_000043358362/?bc=100221457252
（仮称）セシリア熊野前,東京都荒川区西尾久３,日暮里・舎人ライナー/熊野前駅 歩6分,ＪＲ宇都宮線/尾久駅 歩18分,都電荒川線/宮ノ前駅 歩1分,新築,3階建,1階,5.1万円,3000円,-/-,ワンルーム,13.38m2,https://suumo.jp/chintai/jnc_000062682832/?bc=100221147300
（仮称）セシリア熊野前,東京都荒川区西尾久３,日暮里・舎人ライナー/熊野前駅 歩6分,ＪＲ宇都宮線/尾久駅 歩18分,都電荒川線/宮ノ前駅 歩1分,新築,3階建,1階,5.3万円,3000円,-/-,1K,14.07m2,https://suumo.jp/chintai/jnc_000062711442/?bc=100221147321
（仮称）セシリア熊野前,東京都荒川区西尾久３,日暮里・舎人ライナー/熊野前駅 歩6分,ＪＲ宇都宮線/尾久駅 歩18分,都電荒川線/宮ノ前駅 歩1分,新築,3階建,1階,5.3万円,3000円,-/-,1K,14.07m2,https://suumo.jp/chintai/jnc_000062682833/?bc=100220804918
（仮称）セシリア熊野前,東京都荒川区西尾久３,日暮里・舎人ライナー/熊野前駅 歩6分,ＪＲ宇都宮線/尾久駅 歩18分,都電荒川線/宮ノ前駅 歩1分,新築,3階建,2階,5.3万円,3000円,-/-,ワンルーム,13.38m2,https://suumo.jp/chintai/jnc_000062682834/?bc=100221147308
（仮称）セシリア熊野前,東京都荒川区西尾久３,日暮里・舎人ライナー/熊野前駅 歩6分,ＪＲ宇都宮線/尾久駅 歩18分,都電荒川線/宮ノ前駅 歩1分,新築,3階建,2階,5.5万円,3000円,-/-,1K,14.07m2,https://suumo.jp/chintai/jnc_000062682835/?bc=100220804973
（仮称）セシリア熊野前,東京都荒川区西尾久３,日暮里・舎人ライナー/熊野前駅 歩6分,ＪＲ宇都宮線/尾久駅 歩18分,都電荒川線/宮ノ前駅 歩1分,新築,3階建,2階,5.5万円,3000円,-/-,1K,14.07m2,https://suumo.jp/chintai/jnc_000062735924/?bc=100221147312
（仮称）セシリア熊野前,東京都荒川区西尾久３,日暮里・舎人ライナー/熊野前駅 歩6分,ＪＲ宇都宮線/尾久駅 歩18分,都電荒川線/宮ノ前駅 歩1分,新築,3階建,3階,5.6万円,3000円,-/-,ワンルーム,13.38m2,https://suumo.jp/chintai/jnc_000062682836/?bc=100221147256
（仮称）セシリア熊野前,東京都荒川区西尾久３,日暮里・舎人ライナー/熊野前駅 歩6分,ＪＲ宇都宮線/尾久駅 歩18分,都電荒川線/宮ノ前駅 歩1分,新築,3階建,3階,5.8万円,3000円,-/-,1K,14.07m2,https://suumo.jp/chintai/jnc_000062711443/?bc=100221147262
（仮称）セシリア熊野前,東京都荒川区西尾久３,日暮里・舎人ライナー/熊野前駅 歩6分,ＪＲ宇都宮線/尾久駅 歩18分,都電荒川線/宮ノ前駅 歩1分,新築,3階建,3階,5.8万円,3000円,-/-,1K,14.07m2,https://suumo.jp/chintai/jnc_000062682837/?bc=100220804899
セレーナ立石,東京都葛飾区東立石２,京成押上線/京成立石駅 歩7分,京成押上線/四ツ木駅 歩18分,京成本線/青砥駅 歩20分,築9年,2階建,1階,6.9万円,2000円,6.9万円/6.9万円,1K,24.39m2,https://suumo.jp/chintai/jnc_000050778764/?bc=100220928589
マーチ田端,東京都荒川区西尾久５,ＪＲ宇都宮線/尾久駅 歩8分,ＪＲ山手線/田端駅 歩15分,ＪＲ山手線/西日暮里駅 歩29分,築9年,3階建,3階,5.8万円,3000円,-/-,1K,14.76m2,https://suumo.jp/chintai/jnc_000026920859/?bc=100221389486
西武新宿線 都立家政駅 3階建 築3年,東京都中野区鷺宮２,西武新宿線/都立家政駅 歩7分,西武新宿線/鷺ノ宮駅 歩11分,西武新宿線/野方駅 歩14分,築3年,3階建,2階,8.7万円,3000円,-/8.7万円,1DK,40.72m2,https://suumo.jp/chintai/jnc_000062754424/?bc=100215525621
